Connessione a Railway DB...
ETF da verificare: 2573
[506/2573] IPRP.MI              OK 30.76
[507/2573] EXV8.DE              OK 82.84
[508/2573] IS04.DE              OK 2.806
[509/2573] BRNT.MI              OK 73.08
[510/2573] GOVS.MI              OK 51.85
[511/2573] LU1861132840.AS      OK 84.341
[512/2573] XDN0.DE              OK 49.245
[513/2573] LGGL.MI              OK 20.725
[514/2573] ITWN.MI              OK 115.71
[515/2573] EMCR.MI              OK 77.2
[516/2573] XZWE.MI              OK 77.17
[517/2573] ETFUSA.MI            OK 43.28
[518/2573] EMKT.MI              OK 15.996
[519/2573] HMCH.MI              OK 6.68
[520/2573] EXH9.DE              OK 56.91
[521/2573] ROBO.MI              OK 24.6
[522/2573] USEE.MI              OK 5.39
[523/2573] XUCM.DE              OK 73.7
[524/2573] HEAL.MI              OK 7.397
[525/2573] MDBE.MI              OK 10.182
[526/2573] AEMD.MI              OK 63.28
[527/2573] SXRQ.MI              OK 151.83
[528/2573] IBGM.MI              OK 185.06
[529/2573] HEMA.MI              OK 13.784
[530/2573] JEDI.MI              OK 73.2
[531/2573] LGEU.MI              OK 19.636
[532/2573] INDGW.MI             OK 16.466
[533/2573] EXSH.MI              OK 23.415
[534/2573] WTEC.MI              OK 177.74
[535/2573] EFRN.DE              OK 5.0622
[536/2573] AT1.MI               OK 25.56
[537/2573] AUCO.MI              OK 89.79
[538/2573] HLT.MI               OK 145.38
[539/2573] HYLD.MI              OK 76.18
[540/2573] WTAI.MI              OK 75.04
[541/2573] XDGU.MI              OK 11.03
[542/2573] QDVX.DE              OK 6.461
[543/2573] EMEE.MI              OK 6.164
[544/2573] XEWE.MI              OK 12.066
[545/2573] V50D.DE              OK 88.87
[546/2573] C3M.MI               OK 125.92
[547/2573] X03G.MI              OK 174.33
[548/2573] IB27.MI              OK 5.57
[549/2573] XGSD.MI              OK 34.69
[550/2573] IE1A.DE              OK 5.4348
[551/2573] FXC.MI               OK 88.66
[552/2573] H41J.DE              OK 22.525
[553/2573] ENER.MI              OK 38.675
[554/2573] XMAS.DE              OK 74.0
[555/2573] JRGE.MI              OK 49.3
[556/2573] CM9.MI               OK 631.0
[557/2573] EMWE.MI              OK 20.515
[558/2573] PJSR.MI              OK 106.453
[559/2573] RSPS.MI              OK 4.602
[560/2573] CONV.MI              OK 54.92
[561/2573] CBUJ.DE              OK 4.9042
[562/2573] IUSV.DE              OK 2.869
[563/2573] MVEU.MI              OK 70.67
[564/2573] ZPDJ.DE              OK 66.864
[565/2573] CD91.DE              OK 60.02
[566/2573] GOVA.MI              OK 25.77
[567/2573] GLAG.MI              OK 22.175
[568/2573] STNX.MI              OK 295.65
[569/2573] SAUA.MI              OK 7.347
[570/2573] CANEUA.MI            OK 51.26
[571/2573] STUX.MI              OK 255.1
[572/2573] CAPU.MI              OK 1370.45
[573/2573] LCUK.MI              OK 12.14
[574/2573] AJEUAS.MI            OK 207.16
[575/2573] EXIE.DE              OK 6.918
[576/2573] SDHY.MI              OK 74.5
[577/2573] XDWI.MI              OK 69.08
[578/2573] 2B70.DE              OK 7.151
[579/2573] MATW.MI              OK 13.624
[580/2573] ESREUA.MI            OK 126.82
[581/2573] XPAM.F               OK 7.808
[582/2573] HLTW.MI              OK 460.7
[583/2573] HMXJ.MI              OK 14.256
[584/2573] QDVP.DE              OK 3.6615
[585/2573] IKOR.MI              OK 54.77
[586/2573] ZPRV.DE              OK 69.09
[587/2573] XREA.DE              OK 57.32
[588/2573] LGJP.MI              OK 15.754
[589/2573] VMIG.MI              OK 46.265
[590/2573] UQLTD.MI             OK 50.98
[591/2573] ETDD.DE              OK 18.076
[592/2573] SXLE.MI              OK 41.21
[593/2573] XGSH.MI              OK 208.98
[594/2573] XCS7.MI              OK 8.136
[595/2573] IEMO.MI              OK 14.298
[596/2573] ALAT.MI              OK 20.12
[597/2573] IB1T.DE              OK 6.109
[598/2573] CBU5.DE              OK 100.165
[599/2573] JPSA.MI              OK 107.25
[600/2573] 500H.MI              OK 155.64
[601/2573] FTS100.MI            OK 21.045
[602/2573] ETFCRP.MI            OK 19.962
[603/2573] METL.MI              OK 7.95
[604/2573] EUCO.MI              OK 52.59
[605/2573] STZX.MI              OK 127.14
[606/2573] XMEM.MI              OK 62.02
[607/2573] STHE.MI              OK 71.8
[608/2573] BTP10.MI             OK 151.64
[609/2573] V3AA.MI              OK 6.469
[610/2573] RARE.MI              OK 51.55
[611/2573] EXH1.DE              OK 54.11
[612/2573] XUFN.DE              OK 30.995
[613/2573] VNGA60.MI            OK 33.92
[614/2573] XDWS.MI              OK 46.02
[615/2573] COMF.MI              OK 26.725
[616/2573] RS2K.MI              OK 321.2
[617/2573] EXV4.DE              OK 108.68
[618/2573] CE8G.DE              OK 662.1
[619/2573] IBGL.MI              OK 163.86
[620/2573] IQQL.DE              OK 25.9
[621/2573] EMXU.DE              OK 49.22
[622/2573] SAGE.MI              OK 8.881
[623/2573] SEUC.MI              OK 29.755
[624/2573] NDXH.MI              OK 550.83
[625/2573] PSREUA.MI            OK 74.4
[626/2573] JT13.MI              OK 6.337
[627/2573] BTCE.DE              OK 54.41
[628/2573] JREB.MI              OK 107.42
[629/2573] FGQI.MI              OK 8.96
[630/2573] PRAR.DE              OK 17.9305
[631/2573] XAD6.MI              OK 578.69
[632/2573] XDEB.MI              OK 42.605
[633/2573] PJS1.MI              OK 97.494
[634/2573] E50EUA.MI            OK 56.54
[635/2573] YINA2.MI             OK 9.652
[636/2573] 3SUD.DE              OK 5.149
[637/2573] IBGY.MI              OK 142.52
[638/2573] BCHN.MI              OK 129.5
[639/2573] TRXE.MI              OK 30.735
[640/2573] XQUI.MI              OK 323.2
[641/2573] XDWM.MI              OK 61.74
[642/2573] IEQU.MI              OK 11.006
[643/2573] WELU.DE              OK 20.48
[644/2573] HWDE.MI              OK 37.165
[645/2573] 10AI.DE              OK 73.82
[646/2573] TIP1A.MI             OK 14.08
[647/2573] ASREUA.MI            OK 211.95
[648/2573] IB26.MI              OK 5.054
